text,true_label,P1_Lecturer_Fixed_pred,P1_Lecturer_Fixed_exp,P2_Constrained_pred,P2_Constrained_exp,gpt_oss_pred,P3_Hybrid_Master_exp,P4_Baseline_ZeroShot_pred,P4_Baseline_ZeroShot_exp,bert_pred,finbert_pred
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,neutral,Error: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/chat,negative,Strict classification applied,negative,The company reported an operating loss of EUR0.1 million for the quarter.,negative,"The headline describes an operating loss, which indicates poor financial performance and therefore carries a negative sentiment.",negative,neutral
"Finnish property investor Sponda said it has agreed a 100 mln eur , five-year mln credit facility with Swedbank and a 50 mln eur , seven-year facility with OKO Bank .",neutral,neutral,"The news merely informs that Sponda has agreed to a 100 million‑eur, five‑year credit facility and a 50 million‑eur, seven‑year facility, without any positive or negative commentary or implications.",positive,Strict classification applied,neutral,"Sponda secured a 100 million‑euros, five‑year credit line with Swedbank and a 50 million‑euros, seven‑year line with OKO Bank, which is a routine corporate financing arrangement.",neutral,The headline simply reports a factual business transaction — the agreement of credit facilities for further financing. It does not convey any evaluative judgment or emotional tone that would indicate a positive or negative sentiment.,neutral,neutral
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,neutral,neutral,"The statement merely reports that YIT and Evli Property Investment Russia (EPI) will carry out the project; it contains no evaluative or emotive language, indicating a neutral tone.",neutral,Strict classification applied,neutral,"The announcement describes a partnership and project implementation between YIT and EPI, with no explicit mention of financial gain, loss, or decline.",neutral,The headline simply states that a Finnish company and an investment fund will carry out a project; it contains no evaluative or emotionally charged language that would indicate positive or negative sentiment.,neutral,neutral
"It would be premature to talk about dates , volume and the investment procedure , '' he said .",neutral,neutral,"The quotation simply states it would be premature to discuss details, indicating caution rather than positive or negative sentiment.",neutral,Strict classification applied,neutral,The quote only indicates uncertainty and does not mention any financial gain or loss.,neutral,"The headline simply indicates a cautionary stance about discussing dates, volume, and investment procedure, without expressing positive or negative sentiment.",neutral,neutral
Etteplan targets to employ at least 20 people in Borl+[UNK]nge .,positive,positive,"The statement that Etteplan ""targets to employ at least 20 people"" signals a new job‑creation initiative, which is a positive development.",positive,Strict classification applied,neutral,"The announcement of hiring at least 20 employees represents a standard corporate operation, with no explicit indication of financial gain, loss, or penalty.",positive,"The headline reports that Etteplan plans to employ at least 20 people in Borlänge, signaling job creation and business growth, which is a positive development.",neutral,neutral
The use case dramatically narrows if you go only with the hot s Ltd.,neutral,negative,"The sentence states that the use case ""dramatically narrows,"" implying a reduction in scope and potential value, which is a negative sentiment indicator.",negative,Strict classification applied,negative,"The statement indicates that limiting the use case to only hot s Ltd. narrows its scope, implying a reduction in opportunities and potential value.",negative,"The headline suggests a disadvantageous outcome: 'dramatically narrows' indicates a limitation in the use case, which conveys a negative sentiment.",neutral,neutral
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+[UNK]skyl+[UNK] , Oulu and Vaasa , and to polytechnics to be announced later .",neutral,neutral,"The article simply states that donations have been granted to a list of universities and polytechnics, containing no positive or negative language or evaluative remarks.",positive,Strict classification applied,positive,"The text states that donations are granted to several universities, indicating a direct financial inflow to those institutions.",positive,"The headline announces that donations are being granted to a list of universities, which is inherently positive news.",neutral,neutral
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,negative,"The statement notes that GeoSentric’s net sales ""decreased to EUR 939,000"" in the first quarter, indicating a negative performance trend.",negative,Strict classification applied,negative,"Net sales fell, indicating a financial decline.",negative,"The headline reports a decrease in net sales for the company, which is typically interpreted as a negative financial development.",negative,negative
Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,positive,neutral,"The article presents a factual business arrangement: DNA will act as a subcontractor for Maingate and handle telecommunications connections, with no positive or negative language indicating sentiment.",neutral,Strict classification applied,neutral,The announcement details a subcontractor arrangement without any explicit financial gain or loss.,neutral,The headline presents a straightforward factual statement about a business arrangement without any positive or negative language or sentiment.,neutral,neutral
"According to the company , staff will be laid off temporarily when necessary .",negative,neutral,"Error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)",negative,Strict classification applied,negative,"The announcement of temporary staff layoffs signals a workforce reduction, which is typically associated with operational decline or cost-pressure contexts, indicating a negative sentiment.",negative,"The headline announces that staff will be temporarily laid off, which is unfavorable for employees and indicates a negative business development.",negative,negative
