text,gold_label,predicted_label,explanation,raw_model_output,predicted_label_norm,gold_label_norm
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,negative,"The report states the company incurred an operating loss of EUR 0.1 m, indicating a negative financial outcome.","{""predicted_label"":""Negative"",""explanation"":""The report states the company incurred an operating loss of EUR 0.1 m, indicating a negative financial outcome.""}",negative,negative
"Finnish property investor Sponda said it has agreed a 100 mln eur , five-year mln credit facility with Swedbank and a 50 mln eur , seven-year facility with OKO Bank .",neutral,positive,"The article reports that Sponda secured a €100 million five‑year credit facility with Swedbank and a €50 million seven‑year facility with OKO Bank, indicating new financial backing and strengthening its liquidity.","```json
{
  ""predicted_label"": ""Positive"",
  ""explanation"": ""The article reports that Sponda secured a €100 million five‑year credit facility with Swedbank and a €50 million seven‑year facility with OKO Bank, indicating new financial backing and strengthening its liquidity.""
}
```",positive,neutral
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,neutral,neutral,"The text merely states that YIT and EPI will implement the project, containing no positive or negative language or outcomes.","```json
{
  ""predicted_label"": ""Neutral"",
  ""explanation"": ""The text merely states that YIT and EPI will implement the project, containing no positive or negative language or outcomes.""
}
```",neutral,neutral
"It would be premature to talk about dates , volume and the investment procedure , '' he said .",neutral,neutral,"The statement expresses uncertainty and a lack of commitment to dates, volume, or investment procedures, indicating no positive or negative sentiment.","{""predicted_label"":""Neutral"",""explanation"":""The statement expresses uncertainty and a lack of commitment to dates, volume, or investment procedures, indicating no positive or negative sentiment.""}",neutral,neutral
Etteplan targets to employ at least 20 people in Borl+[UNK]nge .,positive,positive,"The article states that Etteplan plans to employ at least 20 people, indicating expansion and job creation.","```json
{
  ""predicted_label"": ""Positive"",
  ""explanation"": ""The article states that Etteplan plans to employ at least 20 people, indicating expansion and job creation.""
}
```",positive,positive
The use case dramatically narrows if you go only with the hot s Ltd.,neutral,negative,"The statement ""The use case dramatically narrows"" indicates a reduction in scope, implying a negative impact.","{""predicted_label"":""Negative"",""explanation"":""The statement \""The use case dramatically narrows\"" indicates a reduction in scope, implying a negative impact.""}",negative,neutral
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+[UNK]skyl+[UNK] , Oulu and Vaasa , and to polytechnics to be announced later .",neutral,neutral,"The text merely reports that donations have been granted to several universities and polytechnics, with no evaluative or emotive language indicating a positive or negative stance.","{""predicted_label"":""Neutral"",""explanation"":""The text merely reports that donations have been granted to several universities and polytechnics, with no evaluative or emotive language indicating a positive or negative stance.""}",neutral,neutral
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,negative,"The news states that GeoSentric’s net sales decreased to EUR 939,000, indicating a decline in performance.","{""predicted_label"":""Negative"",""explanation"":""The news states that GeoSentric’s net sales decreased to EUR 939,000, indicating a decline in performance.""}",negative,negative
Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,positive,neutral,The article merely reports a factual arrangement—DNA will act as a subcontractor for Maingate—without any positive or negative language or implications.,"{""predicted_label"":""Neutral"",""explanation"":""The article merely reports a factual arrangement—DNA will act as a subcontractor for Maingate—without any positive or negative language or implications.""}",neutral,positive
"According to the company , staff will be laid off temporarily when necessary .",negative,negative,"The statement announces that staff will be laid off temporarily, indicating job losses and a negative impact on employees.","{""predicted_label"":""Negative"",""explanation"":""The statement announces that staff will be laid off temporarily, indicating job losses and a negative impact on employees.""}",negative,negative
The net sales of the Power Plants business were EUR 710.3 million in 2005 .,neutral,neutral,The statement reports a factual figure—net sales of EUR 710.3 million for 2005—without indicating any positive or negative outcome.,"{""predicted_label"":""Neutral"",""explanation"":""The statement reports a factual figure—net sales of EUR 710.3 million for 2005—without indicating any positive or negative outcome.""}",neutral,neutral
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",neutral,neutral,"The article simply reports a career move—he joins Technopolis from KONE—without any evaluative or emotive language, making it a neutral statement.","{""predicted_label"":""Neutral"",""explanation"":""The article simply reports a career move—he joins Technopolis from KONE—without any evaluative or emotive language, making it a neutral statement.""}",neutral,neutral
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral,neutral,"The article merely states factual information about Steek’s founding year and location, with no positive or negative language or outcomes.","{""predicted_label"":""Neutral"",""explanation"":""The article merely states factual information about Steek’s founding year and location, with no positive or negative language or outcomes.""}",neutral,neutral
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,positive,positive,"Cash flow from operations increased from EUR 21.9 mn to EUR 37.1 mn, showing a clear upward trend.","{""predicted_label"":""Positive"",""explanation"":""Cash flow from operations increased from EUR 21.9 mn to EUR 37.1 mn, showing a clear upward trend.""}",positive,positive
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral,neutral,"The article merely reports that Scanfil would receive a 79 % stake in the merged entity, which is a factual statement without any positive or negative connotation.","{""predicted_label"":""Neutral"",""explanation"":""The article merely reports that Scanfil would receive a 79 % stake in the merged entity, which is a factual statement without any positive or negative connotation.""}",neutral,neutral
Raute is listed on the Nordic exchange in Helsinki .,neutral,neutral,"The statement ""Raute is listed on the Nordic exchange in Helsinki"" is a neutral factual update with no positive or negative connotation.","{""predicted_label"":""Neutral"",""explanation"":""The statement \""Raute is listed on the Nordic exchange in Helsinki\"" is a neutral factual update with no positive or negative connotation.""}",neutral,neutral
