text,true_label,bert_pred,finbert_pred,gpt_oss_pred
"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",positive,neutral,neutral,positive
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,positive,positive,positive
Return on capital employed rose by 4.8 percentage points to 19.6 % .,positive,positive,positive,positive
The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .,neutral,positive,positive,positive
"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .",neutral,neutral,neutral,neutral
"The permanent magnet generators and power converters are today the preferred solution in new wind turbine designs , the company said .",neutral,positive,neutral,positive
"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''",neutral,neutral,neutral,neutral
Viking Line has canceled some services .,negative,negative,negative,negative
"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said .",neutral,neutral,neutral,neutral
"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",neutral,neutral,neutral,neutral
The parties have agreed not to disclose the transaction value .,neutral,neutral,neutral,neutral
"Finnish metal components supplier Componenta on December 26 , 2006 applied for approval with the Turkish Capital Markets Board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer Doktas Dokumculuk .",neutral,neutral,neutral,neutral
"Finnish W+[UNK]rtsil+[UNK] that provides power solutions for the marine and energy markets has opened a Service Centre in Murmansk , in Russia .",neutral,neutral,neutral,neutral
26 November 2010 - Finnish sports-equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today it has obtained a EUR30m Schuldschein note loan from a pool of international investors .,neutral,positive,neutral,positive
"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",neutral,neutral,neutral,neutral
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",negative,negative,negative,negative
"Aug. 31 , 2009 (Gawker Media delivered by Newstex)-- If you love fishing video games but felt that there just was n't enough wackiness involved , then Activision 's (NASDAQ : ATVI) Rapala : We Fish might just catch your eye with its family-fun hook .",neutral,neutral,neutral,neutral
Net profit in the same period in 2006 was 36.6 million euros .,neutral,neutral,neutral,positive
The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO .,neutral,neutral,neutral,neutral
Net sales revenue per passenger is expected to increase .,positive,positive,positive,positive
"Finnish cargo handling solutions company Cargotec Oyj said on June 17 , 2008 that it will acquire New Zealand tailgates distributor Zepro Tailgate ( 1987 ) Limited for an undisclosed sum .",neutral,neutral,neutral,neutral
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",negative,negative,negative,negative
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,neutral,neutral,neutral,neutral
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative,negative,negative,negative
Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 .,neutral,neutral,neutral,neutral
"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",neutral,neutral,neutral,neutral
"In 2007 , Marimekko has also opened concept stores in Yokohama and Nagoya , central Japan , in Silver Spring in metropolitan Washington DC , USA , in Graz , central Austria , and in Aalborg , northern Denmark .",positive,neutral,neutral,neutral
Financial terms were n't disclosed .,neutral,neutral,neutral,neutral
Approval by shareholders of Cencorp in accordance with Finnish law .,neutral,neutral,neutral,neutral
"Nevertheless , the development can not be allowed to ruin the print newspaper , which continues to be Sanoma News ' main medium .",neutral,neutral,neutral,positive
Ingen is an established medical device manufacturer with an emerging new medical product line for the respiratory market worth an estimated $ 4 billion in the U.S. and $ 8 billion globally .,neutral,positive,neutral,positive
"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe .",neutral,positive,positive,positive
Airvana 's UMTS Home Base Station femto cell uses software-based functionality and off-the-shelf silicon to accelerate feature development and reduce product cost .,positive,positive,positive,positive
The solvency capital ratio of both companies was 2.7 times the solvency limit .,neutral,neutral,neutral,positive
Market data and analytics are derived from primary and secondary research .,neutral,neutral,neutral,neutral
"Glaston , headquartered in Tampere , Finland , is a growing , international glass technology company .",positive,neutral,neutral,positive
`` Our aim is to understand different traffic patterns based on the use of each building .,neutral,neutral,neutral,neutral
Net sales surged by 30 % to EUR 36 million .,positive,positive,positive,positive
Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) .,neutral,neutral,neutral,neutral
"Also , a seven-year historic analysis is provided for these markets .",neutral,neutral,neutral,neutral
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,neutral,neutral,neutral,positive
The lay-offs will affect 240 people out of the total 320 Okmetic employees in Finland .,negative,negative,negative,negative
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",negative,negative,positive,negative
"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",positive,positive,positive,positive
"The company estimates that the trend in demand for sports equipment will be steady in 2006 , '' Amer 's report said .",positive,positive,positive,neutral
"A state program has been worked out , legal provisions have been developed , and rules and normative documents have been specified for the functioning of a technological park .",neutral,neutral,neutral,neutral
The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations .,positive,positive,positive,positive
Technopolis said before the protocol was signed that the techno-park would be built at a site covering more than six hectares in the Neudorf special economic zone and that it planned to invest 200 million euros in the project until 2009 inclusive .,neutral,neutral,neutral,positive
Componenta will also offer a five-year subordinated loan for subscription by the public .,neutral,neutral,neutral,neutral
The company said that its comparable operating profit for the January-June period fell short of last year 's corresponding performance .,negative,negative,negative,negative
Nokia Siemens Networks has struggled to make a profit in the past two years .,negative,negative,neutral,negative
"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .",neutral,neutral,neutral,neutral
